id,label,original_file_path,split,file_path
0.jpg,1,res/images/0.jpg,train,res/dataset/train/fake/0.jpg
1.jpg,1,res/images/1.jpg,train,res/dataset/train/fake/1.jpg
2.jpg,1,res/images/2.jpg,train,res/dataset/train/fake/2.jpg
3.jpg,0,res/images/3.jpg,train,res/dataset/train/real/3.jpg
4.jpg,1,res/images/4.jpg,train,res/dataset/train/fake/4.jpg
5.jpg,1,res/images/5.jpg,train,res/dataset/train/fake/5.jpg
6.jpg,1,res/images/6.jpg,train,res/dataset/train/fake/6.jpg
7.jpg,0,res/images/7.jpg,valid,res/dataset/valid/real/7.jpg
8.jpg,1,res/images/8.jpg,train,res/dataset/train/fake/8.jpg
9.jpg,1,res/images/9.jpg,valid,res/dataset/valid/fake/9.jpg
10.jpg,1,res/images/10.jpg,train,res/dataset/train/fake/10.jpg
11.jpg,1,res/images/11.jpg,train,res/dataset/train/fake/11.jpg
12.jpg,0,res/images/12.jpg,train,res/dataset/train/real/12.jpg
13.jpg,1,res/images/13.jpg,train,res/dataset/train/fake/13.jpg
14.jpg,0,res/images/14.jpg,train,res/dataset/train/real/14.jpg
15.jpg,0,res/images/15.jpg,train,res/dataset/train/real/15.jpg
16.jpg,1,res/images/16.jpg,train,res/dataset/train/fake/16.jpg
17.jpg,1,res/images/17.jpg,train,res/dataset/train/fake/17.jpg
18.jpg,1,res/images/18.jpg,train,res/dataset/train/fake/18.jpg
19.jpg,0,res/images/19.jpg,train,res/dataset/train/real/19.jpg
20.jpg,0,res/images/20.jpg,train,res/dataset/train/real/20.jpg
21.jpg,1,res/images/21.jpg,train,res/dataset/train/fake/21.jpg
22.jpg,0,res/images/22.jpg,valid,res/dataset/valid/real/22.jpg
23.jpg,0,res/images/23.jpg,train,res/dataset/train/real/23.jpg
24.jpg,0,res/images/24.jpg,train,res/dataset/train/real/24.jpg
25.jpg,1,res/images/25.jpg,train,res/dataset/train/fake/25.jpg
26.jpg,0,res/images/26.jpg,train,res/dataset/train/real/26.jpg
27.jpg,1,res/images/27.jpg,train,res/dataset/train/fake/27.jpg
28.jpg,0,res/images/28.jpg,test,res/dataset/test/real/28.jpg
29.jpg,1,res/images/29.jpg,train,res/dataset/train/fake/29.jpg
30.jpg,1,res/images/30.jpg,train,res/dataset/train/fake/30.jpg
31.jpg,0,res/images/31.jpg,train,res/dataset/train/real/31.jpg
32.jpg,1,res/images/32.jpg,train,res/dataset/train/fake/32.jpg
33.jpg,1,res/images/33.jpg,train,res/dataset/train/fake/33.jpg
34.jpg,0,res/images/34.jpg,train,res/dataset/train/real/34.jpg
35.jpg,1,res/images/35.jpg,train,res/dataset/train/fake/35.jpg
36.jpg,0,res/images/36.jpg,train,res/dataset/train/real/36.jpg
37.jpg,0,res/images/37.jpg,valid,res/dataset/valid/real/37.jpg
38.jpg,1,res/images/38.jpg,train,res/dataset/train/fake/38.jpg
39.jpg,0,res/images/39.jpg,train,res/dataset/train/real/39.jpg
40.jpg,1,res/images/40.jpg,train,res/dataset/train/fake/40.jpg
41.jpg,1,res/images/41.jpg,train,res/dataset/train/fake/41.jpg
42.jpg,0,res/images/42.jpg,train,res/dataset/train/real/42.jpg
43.jpg,1,res/images/43.jpg,train,res/dataset/train/fake/43.jpg
44.jpg,0,res/images/44.jpg,train,res/dataset/train/real/44.jpg
45.jpg,0,res/images/45.jpg,train,res/dataset/train/real/45.jpg
46.jpg,0,res/images/46.jpg,train,res/dataset/train/real/46.jpg
47.jpg,1,res/images/47.jpg,train,res/dataset/train/fake/47.jpg
48.jpg,1,res/images/48.jpg,train,res/dataset/train/fake/48.jpg
49.jpg,0,res/images/49.jpg,train,res/dataset/train/real/49.jpg
50.jpg,1,res/images/50.jpg,train,res/dataset/train/fake/50.jpg
51.jpg,0,res/images/51.jpg,train,res/dataset/train/real/51.jpg
52.jpg,1,res/images/52.jpg,train,res/dataset/train/fake/52.jpg
53.jpg,0,res/images/53.jpg,test,res/dataset/test/real/53.jpg
54.jpg,0,res/images/54.jpg,train,res/dataset/train/real/54.jpg
55.jpg,1,res/images/55.jpg,train,res/dataset/train/fake/55.jpg
56.jpg,0,res/images/56.jpg,train,res/dataset/train/real/56.jpg
